TITULOS;NOMBRE;COMPRA;INVERTIDO
;Total;;159.714,39
;RENTA FIJA (4);;112.526,42
399,7;GVC Gaesco Renta Fija Horizonte;100,08;40.000,00
2.092,248754;GVC Gaesco Renta Fija Flexible CONJUNTA;11,06;23.106,86
3.360,12;GVC Gaesco Renta Fija Flexible;10,42;35.000,00
1.523,52;GVC Gaesco Constantfons FI;9,46;14.419,56
;RENTA VARIABLE (13);;38.798,06
13,5977;Pictet-China Index P EUR;139,73;1.899,98
82,527496;GVC Gaesco Zebra US Small Caps;92,09;7.600,00
760,432862;"GVC Gaesco Value Minu ""A""";8,09;6.150,18
173,523651;GVC Gaesco V.I.F Clsae A FI;8,64;1.500,00
101,936392;GVC Gaesco Small Caps A FI;15,70;1.600,00
91,616816;GVC Gaesco Japón A FI CONJUNTA;13,10;1.200,00
194,961848;GVC Gaesco Japón A FI;12,31;2.400,00
367,45214;GVC Gaesco Global Equity DS A ;16,33;6.000,00
5,806272;GVC Gaesco Emergentfond FI;241,12;1.400,00
76,946343;GVC Gaesco 300 Places Worldwide CONJUNTA;15,60;1.200,00
407,0330358;GVC Gaesco 300 Places Worldwide;13,38;5.447,92
88,39114129;Fidelity S&P 500 Index Fund EUR;13,58;1.199,98
102,12663664;Fidelity MSCI World Index Fund;11,75;1.200,00
;CRIPTOMONEDAS (8);;3.714,36
40,8163;XRP;2,12;86,44
129,43;Sui;2,65;342,91
10,3669667;Solana;144,69;1.500,00
16.949,15;Pump.fun;0,01;86,14
3.389,83;Pudgy Penguins;0,03;85,06
20.223,59616;Linea;0,01;258,28
1.261;Kaspa;0,07;85,00
0,01368148;Bitcoin;92.864,95;1.270,53
;EPSV (2);;4.675,55
15,932693;Baskepensiones renta fija a corto EPSV;7,00;111,55
80,161137;Baskepensiones Bolsa Euro EPSV;56,94;4.564,00
;Total;;159.714,39